Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_21640	M8Y62_21640	LysR family transcriptional regulator	1.52048159577061	1.11711091298853e-13	-1.66287208791907	3.92275043249684e-29	-0.146069903291981	0.46684222667258
M8Y62_04115	M8Y62_04115	GNAT family N-acetyltransferase	1.33683989610223	1.18072187492826e-13	-2.78946381064811	7.62326324006344e-87	-1.45503971368292	8.4975458857739e-23
M8Y62_05835	ssrA		1.43983287814032	1.27381909908156e-13	-2.35045897176135	6.35709736834654e-71	-0.914779067648721	3.32757486594388e-11
M8Y62_07525	M8Y62_07525	GDSL-type esterase/lipase family protein	1.1157820033798	1.27381909908156e-13	-1.08089337743802	1.97261120274996e-14	0.0311354605832638	0.843507842706032
M8Y62_27190	M8Y62_27190	H-NS histone family protein	1.9063721493735	1.28377975118786e-13	-1.7025402548355	2.06369546776551e-14	0.201488639617012	0.198698421560406
M8Y62_13745	M8Y62_13745	GNAT family N-acetyltransferase	1.43165602362908	1.36961128062876e-13	-1.08191444474642	2.01195257630096e-12	0.347290288812354	0.049493322374834
M8Y62_02975	M8Y62_02975	DUF805 domain-containing protein	1.33837686918508	1.48906266014597e-13	-1.66535724510368	2.58269990810718e-24	-0.329925407141225	0.00651106588959477
M8Y62_11515	cas2e	type I-E CRISPR-associated endoribonuclease Cas2e	1.3353292868142	1.67307793143654e-13	-1.3504211328799	2.13914676234467e-20	-0.0182114656869837	0.925996647869466
M8Y62_12030	mliC	C-type lysozyme inhibitor	1.48611175537084	1.82943743967594e-13	0.0951477863815146	0.522933503683987	1.57857402556327	7.84795988012355e-24
M8Y62_25120	ilvL	ilv operon leader peptide	1.74758356423594	1.87312102961836e-13	-2.07909681114072	6.81541407864042e-33	-0.333545362387803	0.0570158266882474
M8Y62_10390	tdcD	propionate kinase	4.16187643248668	2.6012048246467e-13	-4.8181094021255	5.70198738155929e-35	-0.665125231126053	0.156839504110401
M8Y62_17620	M8Y62_17620	ABC transporter permease	-1.04011903549082	2.69306717167851e-13	0.881818906066886	7.08448879311986e-12	-0.161628399906426	0.265404260590484
M8Y62_11500	cas7e	type I-E CRISPR-associated protein Cas7/Cse4/CasC	1.18804431959641	2.87312534536092e-13	-2.01956256570029	2.9413277302269e-42	-0.833268762406208	6.99044247851063e-11
M8Y62_25350	cpxP	cell-envelope stress modulator CpxP	0.714737594128144	2.93981048139812e-13	0.968176399325007	1.17481552236584e-22	1.68026867917836	3.43899350598168e-60
