Geneid	SRR35308233	SRR35308234	SRR35308235	SRR35308236	SRR35308237	SRR35308238	SRR35308239	SRR35308240	SRR35308241	SRR35308242	SRR35308243	SRR35308244
M8Y62_20945	189	231	227	157	171	155	647	533	453	147	158	138
M8Y62_20950	516	564	622	677	730	745	922	640	629	684	682	653
M8Y62_20955	348	412	368	305	412	353	704	498	472	437	454	368
M8Y62_20960	174	151	164	85	92	110	518	334	303	60	75	78
M8Y62_20965	313	312	318	353	398	366	491	322	348	302	312	387
M8Y62_20970	385	529	511	985	1129	1141	1748	1441	1336	1161	1297	1466
M8Y62_20975	1403	1645	1450	690	671	880	2757	2065	1877	342	358	363
M8Y62_20980	3261	3607	3001	1193	1236	1376	4700	3349	3266	708	817	712
M8Y62_20985	380	406	327	169	159	185	727	542	576	145	144	80
M8Y62_20990	368	413	369	219	242	247	898	699	624	142	177	114
M8Y62_20995	1590	1647	1550	1766	2019	1946	3383	2621	2302	1993	2023	1790
M8Y62_21000	1309	1378	1281	1033	1125	1058	2237	1667	1467	927	855	740
M8Y62_21005	1794	1940	1654	518	582	706	2909	2138	1985	598	671	703
M8Y62_21010	3380	3453	2598	1970	2522	2554	3373	2475	2496	3596	3742	5971
M8Y62_21015	8956	9318	7696	3491	3868	4158	12543	9347	8600	3578	3816	4154
M8Y62_21020	5712	6114	5176	1901	2312	2443	10040	7328	7260	2101	2131	1642
M8Y62_21025	1103	1217	1095	433	484	583	1872	1443	1346	323	386	190
M8Y62_21030	1599	1805	1767	597	672	722	2863	2096	1880	408	478	292
M8Y62_21035	1099	1222	1163	501	451	521	1842	1260	1235	228	244	159
M8Y62_21040	1162	1262	1199	1289	1403	1432	3138	2236	2189	1282	1325	1160
M8Y62_21045	439	479	583	148	158	215	1476	963	909	128	145	107
M8Y62_21050	2231	2294	1973	1029	1207	1242	4348	3039	2883	1371	1479	1815
M8Y62_21055	7239	7509	6629	1863	2253	2562	10052	6659	6348	1974	2236	2868
M8Y62_21060	584	762	829	434	462	539	1542	1020	924	234	251	209
M8Y62_21065	800	888	898	807	901	986	1967	1534	1202	481	589	568
M8Y62_21070	1196	1340	1348	1284	1480	1521	2892	1938	1863	1340	1478	1562
M8Y62_21075	301	353	402	747	834	887	1276	861	870	1016	1123	1546
M8Y62_21080	459	445	408	366	361	338	1633	1057	1335	447	586	487
M8Y62_21085	13332	12801	11899	8260	10041	10957	51829	37922	45988	10081	10472	19004
M8Y62_21090	475	481	505	614	742	842	1149	842	832	721	872	934
M8Y62_21095	626	756	752	820	887	913	1812	1327	1314	646	678	689
M8Y62_21100	123	144	150	139	138	187	603	443	395	122	136	102
M8Y62_21105	121	157	117	90	91	98	366	283	233	118	107	87
M8Y62_21110	773	805	794	560	568	757	1526	1196	1193	584	620	721
M8Y62_21115	205	239	192	267	291	276	524	393	383	207	217	118
M8Y62_21120	284	343	310	493	487	585	1600	1115	1027	351	424	390
M8Y62_21125	74	79	76	38	55	50	432	312	288	32	29	30
M8Y62_21130	18	6	24	4	3	4	120	79	62	8	5	6
M8Y62_21135	18	13	13	12	3	10	139	93	98	4	5	1
M8Y62_21140	200	250	203	96	101	112	1397	827	967	111	126	97
M8Y62_21145	2413	2607	2505	1203	1388	1486	4615	3350	3204	944	1024	891
M8Y62_21150	2	5	2	1	0	0	5	1	1	1	2	2
M8Y62_21155	39	63	48	26	23	36	138	85	81	45	44	40
M8Y62_21160	99	71	74	52	68	55	199	121	109	95	86	66
